(50.0, 49.999999999999986)
(51.0, 50.822117145684423)
(52.0, 51.597262179219356)
(53.0, 52.326783824079165)
(54.0, 53.012030803738327)
(55.0, 53.654351841671271)
(56.0, 54.255095661352414)
(57.0, 54.815610986256239)
(58.0, 55.337246539857105)
(59.0, 55.82135104562952)
(60.0, 56.269273227047883)
(61.0, 56.682361807586652)
(62.0, 57.061965510720242)
(63.0, 57.409433059923103)
(64.0, 57.726113178669671)
(65.0, 58.013354590434375)
(66.0, 58.272506018691665)
(67.0, 58.504916186915963)
(68.0, 58.71193381858172)
(69.0, 58.894907637163364)
(70.0, 59.055186366135324)
(71.0, 59.194118728972043)
(72.0, 59.313053449147979)
(73.0, 59.413339250137525)
(74.0, 59.496324855415146)
(75.0, 59.563358988455292)
(76.0, 59.61579037273237)
(77.0, 59.654967731720824)
(78.0, 59.682239788895096)
(79.0, 59.698955267729609)
(80.0, 59.706462891698827)
(81.0, 59.706111384277165)
(82.0, 59.699249468939087)
(83.0, 59.687225869158965)
(84.0, 59.671389308411307)
(85.0, 59.653088510170527)
(86.0, 59.633672197911039)
(87.0, 59.614489095107295)
(88.0, 59.596887925233737)
(89.0, 59.582217411764795)
(90.0, 59.571826278174903)
(91.0, 59.567063247938535)
(92.0, 59.569277044530047)
(93.0, 59.579816391423961)
(94.0, 59.600030012094656)
(95.0, 59.631266630016576)
(96.0, 59.674874968664184)
(97.0, 59.732203751511896)
(98.0, 59.804601702034169)
(99.0, 59.893417543705397)
(100.0, 60.000000000000078)
(101.0, 60.125555487630628)
(102.0, 60.270721196261746)
(103.0, 60.435992008796106)
(104.0, 60.621862808136399)
(105.0, 60.828828477185326)
(106.0, 61.057383898845586)
(107.0, 61.308023956019852)
(108.0, 61.581243531610831)
(109.0, 61.877537508521229)
(110.0, 62.197400769653697)
(111.0, 62.541328197910985)
(112.0, 62.909814676195751)
(113.0, 63.303355087410694)
(114.0, 63.722444314458528)
(115.0, 64.167577240241926)
(116.0, 64.639248747663586)
(117.0, 65.137953719626182)
(118.0, 65.66418703903247)
(119.0, 66.218443588785064)
(120.0, 66.801218251786707)
(121.0, 67.413005910940086)
(122.0, 68.0543014491479)
(123.0, 68.725599749312821)
(124.0, 69.427395694337548)
(125.0, 70.160184167124797)
(126.0, 70.924460050577238)
(127.0, 71.720718227597587)
(128.0, 72.549453581088514)
(129.0, 73.411160993952706)
(130.0, 74.30633534909289)
(131.0, 75.235471529411754)
(132.0, 76.199064417811982)
(133.0, 77.197608897196247)
(134.0, 78.231599850467276)
(135.0, 79.301532160527742)
(136.0, 80.407900710280359)
(137.0, 81.551200382627798)
(138.0, 82.731926060472759)
(139.0, 83.950572626717971)
(140.0, 85.207634964266049)
(141.0, 86.503607956019778)
(142.0, 87.838986484881787)
(143.0, 89.214265433754804)
(144.0, 90.629939685541487)
(145.0, 92.08650412314455)
(146.0, 93.584453629466722)
(147.0, 95.124283087410646)
(148.0, 96.706487379879036)
(149.0, 98.331561389774549)
(150.0, 99.999999999999972)
(151.0, 101.71190090379326)
(152.0, 103.46577303573389)
(153.0, 105.25972814073664)
(154.0, 107.0918779637163)
(155.0, 108.96033424958766)
(156.0, 110.86320874326552)
(157.0, 112.79861318966465)
(158.0, 114.7646593336998)
(159.0, 116.75945892028588)
(160.0, 118.78112369433752)
(161.0, 120.82776540076966)
(162.0, 122.89749578449697)
(163.0, 124.98842659043427)
(164.0, 127.09866956349641)
(165.0, 129.22633644859812)
(166.0, 131.36953899065418)
(167.0, 133.52638893457939)
(168.0, 135.69499802528861)
(169.0, 137.87347800769652)
(170.0, 140.05994062671795)
(171.0, 142.2524976272677)
(172.0, 144.44926075426059)
(173.0, 146.64834175261129)
(174.0, 148.84785236723474)
(175.0, 151.04590434304563)
(176.0, 153.24060942495876)
(177.0, 155.43007935788896)
(178.0, 157.612425886751)
(179.0, 159.78576075645958)
(180.0, 161.94819571192963)
(181.0, 164.09784249807589)
(182.0, 166.23281285981309)
(183.0, 168.35121854205605)
(184.0, 170.45117128971964)
(185.0, 172.53078284771854)
(186.0, 174.58816496096759)
(187.0, 176.62142937438153)
(188.0, 178.62868783287522)
(189.0, 180.60805208136344)
(190.0, 182.5576338647609)
(191.0, 184.47554492798247)
(192.0, 186.35989701594283)
(193.0, 188.20880187355695)
(194.0, 190.02037124573945)
(195.0, 191.79271687740516)
(196.0, 193.52395051346895)
(197.0, 195.2121838988455)
(198.0, 196.8555287784497)
(199.0, 198.45209689719627)
(200.0, 200.00000000000003)
(201.0, 201.49780089719621)
(202.0, 202.94586666080264)
(203.0, 204.34501542825728)
(204.0, 205.69606533699837)
(205.0, 206.99983452446398)
(206.0, 208.2571411280924)
(207.0, 209.46880328532166)
(208.0, 210.63563913358988)
(209.0, 211.75846681033536)
(210.0, 212.83810445299613)
(211.0, 213.87537019901046)
(212.0, 214.87108218581636)
(213.0, 215.82605855085208)
(214.0, 216.74111743155575)
(215.0, 217.61707696536553)
(216.0, 218.45475528971957)
(217.0, 219.25497054205601)
(218.0, 220.01854085981304)
(219.0, 220.74628438042876)
(220.0, 221.43901924134133)
(221.0, 222.0975635799889)
(222.0, 222.72273553380973)
(223.0, 223.31535324024179)
(224.0, 223.8762348367234)
(225.0, 224.40619846069262)
(226.0, 224.90606224958759)
(227.0, 225.37664434084652)
(228.0, 225.81876287190755)
(229.0, 226.2332359802088)
(230.0, 226.62088180318847)
(231.0, 226.98251847828465)
(232.0, 227.31896414293561)
(233.0, 227.6310369345793)
(234.0, 227.91955499065409)
(235.0, 228.18533644859806)
(236.0, 228.42919944584926)
(237.0, 228.65196211984593)
(238.0, 228.85444260802626)
(239.0, 229.03745904782841)
(240.0, 229.20182957669036)
(241.0, 229.34837233205047)
(242.0, 229.47790545134671)
(243.0, 229.59124707201747)
(244.0, 229.68921533150072)
(245.0, 229.7726283672346)
(246.0, 229.84230431665736)
(247.0, 229.8990613172071)
(248.0, 229.94371750632203)
(249.0, 229.97709102144015)
(250.0, 229.99999999999989)
(251.0, 230.01305550742148)
(252.0, 230.01604032105539)
(253.0, 230.00853014623405)
(254.0, 229.99010068829011)
(255.0, 229.9603276525562)
(256.0, 229.91878674436492)
(257.0, 229.86505366904882)
(258.0, 229.79870413194047)
(259.0, 229.71931383837261)
(260.0, 229.62645849367769)
(261.0, 229.51971380318847)
(262.0, 229.39865547223735)
(263.0, 229.26285920615712)
(264.0, 229.11190071028025)
(265.0, 228.94535568993942)
(266.0, 228.76279985046716)
(267.0, 228.56380889719611)
(268.0, 228.34795853545896)
(269.0, 228.1148244705881)
(270.0, 227.86398240791632)
(271.0, 227.59500805277608)
(272.0, 227.3074771105002)
(273.0, 227.00096528642104)
(274.0, 226.67504828587127)
(275.0, 226.32930181418354)
(276.0, 225.96330157669041)
(277.0, 225.5766232787245)
(278.0, 225.16884262561842)
(279.0, 224.73953532270471)
(280.0, 224.28827707531605)
(281.0, 223.81464358878503)
(282.0, 223.31821056844421)
(283.0, 222.79855371962611)
(284.0, 222.25524874766353)
(285.0, 221.68787135788895)
(286.0, 221.09599725563496)
(287.0, 220.47920214623417)
(288.0, 219.83706173501929)
(289.0, 219.16915172732274)
(290.0, 218.47504782847719)
(291.0, 217.75432574381534)
(292.0, 217.00656117866964)
(293.0, 216.2313298383728)
(294.0, 215.42820742825737)
(295.0, 214.59676965365588)
(296.0, 213.7365922199011)
(297.0, 212.8472508323255)
(298.0, 211.92832119626175)
(299.0, 210.97937901704236)
(300.0, 210.00000000000009)
(301.0, 208.98966507311715)
(302.0, 207.94747605497537)
(303.0, 206.87243998680606)
(304.0, 205.76356390984068)
(305.0, 204.61985486531069)
(306.0, 203.44031989444764)
(307.0, 202.22396603848284)
(308.0, 200.9698003386477)
(309.0, 199.67682983617385)
(310.0, 198.34406157229259)
(311.0, 196.97050258823543)
(312.0, 195.5551599252338)
(313.0, 194.09704062451908)
(314.0, 192.59515172732284)
(315.0, 191.04850027487649)
(316.0, 189.45609330841137)
(317.0, 187.81693786915898)
(318.0, 186.13004099835092)
(319.0, 184.39440973721841)
(320.0, 182.60905112699299)
(321.0, 180.77297220890611)
(322.0, 178.88518002418928)
(323.0, 176.94468161407383)
(324.0, 174.95048401979128)
(325.0, 172.90159428257303)
(326.0, 170.79701944365053)
(327.0, 168.63576654425523)
(328.0, 166.41684262561864)
(329.0, 164.13925472897208)
(330.0, 161.80200989554714)
(331.0, 159.4041151665752)
(332.0, 156.9445775832877)
(333.0, 154.42240418691603)
(334.0, 151.83660201869171)
(335.0, 149.1861781198462)
(336.0, 146.47013953161093)
(337.0, 143.68749329521728)
(338.0, 140.83724645189676)
(339.0, 137.91840604288086)
(340.0, 134.92997910940088)
(341.0, 131.87097269268841)
(342.0, 128.74039383397482)
(343.0, 125.53724957449161)
(344.0, 122.26054695547013)
(345.0, 118.90929301814191)
(346.0, 115.48249480373839)
(347.0, 111.97915935349099)
(348.0, 108.39829370863116)
(349.0, 104.73890491039036)
(350.0, 101.00000000000003)
