(61.340000000000003, 118.42000000000003)
(62.340893470790384, 119.11605982420127)
(63.341786941580757, 119.81913779154826)
(64.342680412371138, 120.52911996638163)
(65.343573883161511, 121.24589241304214)
(66.344467353951899, 121.96934119587056)
(67.345360824742272, 122.69935237920748)
(68.346254295532646, 123.43581202739361)
(69.347147766323033, 124.17860620476974)
(70.348041237113407, 124.92762097567652)
(71.34893470790378, 125.6827424044546)
(72.349828178694167, 126.44385655544481)
(73.350721649484541, 127.21084949298773)
(74.351615120274914, 127.98360728142407)
(75.352508591065302, 128.76201598509465)
(76.353402061855675, 129.54596166834006)
(77.354295532646049, 130.33533039550105)
(78.355189003436436, 131.13000823091835)
(79.35608247422681, 131.92988123893255)
(80.356975945017183, 132.73483548388447)
(81.357869415807556, 133.54475703011474)
(82.358762886597944, 134.35953194196409)
(83.359656357388317, 135.17904628377329)
(84.360549828178705, 136.00318611988291)
(85.361443298969078, 136.83183751463375)
(86.362336769759452, 137.66488653236652)
(87.363230240549825, 138.50221923742183)
(88.364123711340213, 139.34372169414044)
(89.365017182130586, 140.18927996686307)
(90.365910652920974, 141.03878011993041)
(91.366804123711347, 141.89210821768316)
(92.36769759450172, 142.74915032446202)
(93.368591065292094, 143.60979250460767)
(94.369484536082481, 144.47392082246088)
(95.370378006872855, 145.34142134236222)
(96.371271477663242, 146.21218012865256)
(97.372164948453616, 147.08608324567251)
(98.373058419243989, 147.96301675776274)
(99.373951890034363, 148.84286672926405)
(100.37484536082475, 149.72551922451706)
(101.37573883161512, 150.61086030786254)
(102.37663230240551, 151.49877604364119)
(103.37752577319588, 152.38915249619359)
(104.37841924398626, 153.28187572986056)
(105.37931271477663, 154.17683180898277)
(106.38020618556702, 155.07390679790092)
(107.38109965635739, 155.97298676095582)
(108.38199312714778, 156.87395776248798)
(109.38288659793815, 157.7767058668382)
(110.38378006872853, 158.68111713834719)
(111.3846735395189, 159.58707764135565)
(112.38556701030927, 160.49447344020425)
(113.38646048109966, 161.40319059923374)
(114.38735395189005, 162.31311518278483)
(115.38824742268042, 163.22413325519815)
(116.3891408934708, 164.13613088081445)
(117.39003436426117, 165.04899412397444)
(118.39092783505154, 165.96260904901879)
(119.39182130584193, 166.87686172028828)
(120.39271477663232, 167.79163820212349)
(121.39360824742269, 168.70682455886524)
(122.39450171821306, 169.62230685485412)
(123.39539518900344, 170.53797115443095)
(124.39628865979381, 171.45370352193632)
(125.3971821305842, 172.36939002171101)
(126.39807560137457, 173.28491671809576)
(127.39896907216496, 174.20016967543117)
(128.39986254295533, 175.11503495805798)
(129.40075601374571, 176.0293986303169)
(130.40164948453611, 176.94314675654866)
(131.40254295532645, 177.8561654010939)
(132.40343642611685, 178.76834062829343)
(133.40432989690723, 179.67955850248785)
(134.4052233676976, 180.58970508801784)
(135.40611683848797, 181.49866644922415)
